ID;ID-ELEMENTO 01;ELEMENTO 01;ID-ELEMENTO 02;ELEMENTO 02;ID-ELEMENTO 03;ELEMENTO 03;ID-ELEMENTO 04;ELEMENTO 04;ID-ELEMENTO 05;ELEMENTO 05;DISCIPLINA 01;DISCIPLINA 02;DISCIPLINA 03;DISCIPLINA 04;DISCIPLINA 05;DISCIPLINA 06;DISCIPLINA 07;STATUS;EMPREENDIMENTO;RESPONSÁVEL;FASE;TIPO;LOCAL;PRAZO;PRIORIDADE;PRIMEIRA ALTERAÇÃO;ÚLTIMA ALTERAÇÃO;MARCADOR 01;MARCADOR 02;MARCADOR 03
81;6588;Nível;;;;;;;;;Arquitetura; Estrutura;;;;;;Aberta;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Concepção de projeto;Pavimento Coberta;-;NORMAL;27/06/2022;20/08/2022;I;;D
82;4496;Viga;;;;;;;;;Arquitetura;;;;;;;Aberta;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Pavimento Coberta;-;SIMPLES;27/06/2022;20/08/2022;;;D
83;6588;Nível;;;;;;;;;Arquitetura; Estrutura;;;;;;Resolvida;Oscar Freire;Oscar Freire;Construção virtual 01;Concepção de projeto;Pavimento Coberta;-;SIMPLES;27/06/2022;20/08/2022;;;D
84;3088;Escada;;;;;;;;;Arquitetura;;;;;;;Aberta;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Pavimento Semienterrado;-;SIMPLES;27/06/2022;20/08/2022;I;;
85;9531;Quadro de áreas;;;;;;;;;Arquitetura; Estrutura;;;;;;Aberta;Oscar Freire;Oscar Freire;Construção virtual 01;Falha de representação;Pavimento Tipo;-;CRÍTICO;27/06/2022;20/08/2022;I;;
86;6604;Vaga de estacionamento;;;;;;;;;Arquitetura;;;;;;;Aberta;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Pavimento Semienterrado;-;SIMPLES;27/06/2022;20/08/2022;I;;
87;6604;Vaga de estacionamento;9873;Pilar;;;;;;;Arquitetura; Estrutura;;;;;;Resolvida;Oscar Freire;Oscar Freire;Construção virtual 01;Conflito;Pavimento Semienterrado;-;NORMAL;27/06/2022;20/08/2022;I;;
88;7895;Esquadria;;;;;;;;;Arquitetura;;;;;;;Aberta;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Concepção de projeto;Geral;-;SIMPLES;27/06/2022;20/08/2022;;S;
89;6604;Vaga de estacionamento;9873;Pilar;;;;;;;Arquitetura; Estrutura;;;;;;Resolvida;Oscar Freire;Oscar Freire;Construção virtual 01;Conflito;Pavimento Semienterrado;-;NORMAL;27/06/2022;20/08/2022;I;;
90;7895;Esquadria;4043;Alvenaria;;;;;;;Arquitetura;;;;;;;Aberta;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Conflito;Pavimento 01;-;CRÍTICO;27/06/2022;20/08/2022;I;S;
91;9531;Quadro de áreas;;;;;;;;;Estrutura;;;;;;;Aberta;Oscar Freire;Henrique Figueiroa;Construção virtual 01;Concepção de projeto;Pavimento Tipo;-;SIMPLES;27/06/2022;20/08/2022;;;D
92;8899;Elevador;;;;;;;;;Arquitetura; Estrutura;;;;;;Aberta;Oscar Freire;Oscar Freire;Construção virtual 01;Falha de representação;Pavimento Coberta;-;SIMPLES;27/06/2022;20/08/2022;I;;
93;4496;Viga;;;;;;;;;Arquitetura; Estrutura;;;;;;Aberta;Oscar Freire;Oscar Freire;Construção virtual 01;Concepção de projeto;Pavimento Tipo;-;SIMPLES;27/06/2022;22/08/2022;;S;D
94;9873;Pilar;;;;;;;;;Estrutura;;;;;;;Aberta;Oscar Freire;Henrique Figueiroa;Construção virtual 01;Falha de representação;Pavimento Coberta;-;SIMPLES;27/06/2022;20/08/2022;I;;
95;3500;Laje;4043;Alvenaria;4496;Viga;9873;Pilar;;;Arquitetura; Estrutura;;;;;;Aberta;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Geral;-;CRÍTICO;27/06/2022;20/08/2022;I;;
96;7895;Esquadria;9873;Pilar;;;;;;;Arquitetura; Estrutura;;;;;;Aberta;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Conflito;Pavimento Semienterrado;-;NORMAL;27/06/2022;20/08/2022;;S;
97;3088;Escada;;;;;;;;;Estrutura;;;;;;;Aberta;Oscar Freire;Henrique Figueiroa;Construção virtual 01;Ausência;Pavimento Semienterrado;-;NORMAL;29/06/2022;20/08/2022;I;;
98;9873;Pilar;;;;;;;;;Arquitetura; Estrutura;;;;;;Aberta;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Concepção de projeto;Geral;-;NORMAL;29/06/2022;20/08/2022;;;D
